Gene	FDR
ABHD11.83451	2.08036711458934e-20
ABHD12B.145447	2.45535106560403e-20
ABHD12.26090	4.750935005275e-20
ABHD13.84945	4.27397245781098e-16
ABHD14A.25864	2.55668383227585e-34
ABHD14B.84836	3.3309221839103e-27
ABHD15.116236	1.03506846245557e-36
ABHD1.84696	1.72214894575618e-35
ABHD2.11057	6.70658621479564e-46
ABHD3.171586	0.0162228489033899
ABHD4.63874	4.49534789273319e-23
ABHD5.51099	4.2629522240464e-13
ABHD6.57406	6.9722383135408e-10
ABHD8.79575	1.02238280473986e-29
ABI1.10006	5.3886056023399e-38
ABI2.10152	2.88493772711355e-07
ABI3BP.25890	5.27082579857715e-68
ABI3.51225	5.45656959163728e-38
ABL1.25	5.41049936463594e-24
ABL2.27	3.16960189856233e-14
ABLIM1.3983	1.95736693026396e-21
ABLIM2.84448	9.16457720845515e-09
ABLIM3.22885	5.34888650685305e-70
ABO.28	2.85849639854558e-25
ABP1.26	1.42505079645588e-12
ABRA.137735	0.000129802166225164
ABR.29	7.67353504565828e-22
ABT1.29777	1.82088752908732e-40
ABTB1.80325	5.70883093901886e-35
ABTB2.25841	8.34647742305502e-64
ACAA1.30	8.27967334666126e-23
ACAA2.10449	1.48790904764665e-13
ACACA.31	2.17883056731687e-26
ACACB.32	5.98085314827267e-48
ACAD10.80724	6.07157098134865e-21
ACAD11.84129	4.18490103956931e-13
ACAD8.27034	2.58429102584118e-14
ACAD9.28976	5.93719878071187e-31
ACADL.33	6.27079347870804e-47
ACADM.34	0.000338876589078155
ACADSB.36	1.93985993864561e-90
ACADS.35	1.12806482945336e-24
ACADVL.37	2.53320174783966e-19
ACAN.176	2.31585459690483e-14
ACAP1.9744	1.50760595193346e-47
ACAP2.23527	3.98334996299279e-21
ACAP3.116983	1.88099016410304e-20
ACAT1.38	0.0046708700828102
ACAT2.39	5.21932970696843e-37
ACBD3.64746	4.37630984665718e-14
ACBD4.79777	1.15227061180863e-59
ACBD5.91452	2.89634291443422e-21
ACBD6.84320	4.1424259547589e-16
ACBD7.414149	3.30182844803281e-28
ACCN1.40	4.81135917011298e-14
ACCN2.41	1.32651161012302e-06
ACCN3.9311	1.23215255316082e-18
ACCN4.55515	1.26282804222423e-23
ACCN5.51802	2.47218374656293e-05
ACCSL.390110	0.0443034784277953
ACCS.84680	2.66476685129489e-23
ACD.65057	1.09752530352631e-20
ACE2.59272	2.01106549638744e-79
ACER1.125981	0.0191201439179524
ACER2.340485	2.47081668587792e-68
ACER3.55331	3.04719009657775e-14
ACE.1636	0.000201042021550082
ACHE.43	2.65994475173342e-30
ACIN1.22985	9.58735189928165e-21
ACLY.47	1.14954191729166e-25
ACMSD.130013	1.85440412744179e-37
ACN9.57001	4.27348444056249e-34
ACO1.48	4.81014446641967e-22
ACO2.50	2.19528230845944e-08
ACOT11.26027	9.59647742628522e-14
ACOT12.134526	0.244301612659117
ACOT13.55856	5.90756879317439e-25
ACOT1.641371	2.52721200410656e-47
ACOT2.10965	3.91433725067406e-48
ACOT4.122970	3.11282008728703e-73
ACOT6.641372	4.0191483328812e-27
ACOT7.11332	2.27214700349414e-29
ACOT8.10005	2.61328994656072e-18
ACOT9.23597	1.01297673342897e-63
ACOX1.51	5.53385297822935e-17
ACOX2.8309	5.09939198877459e-69
ACOX3.8310	1.76770888875647e-23
ACOXL.55289	0.000307355452054344
ACP1.52	4.2629033211676e-29
ACP2.53	0.0705973412908447
ACP5.54	0.00149295997867276
ACP6.51205	8.60743743477782e-07
ACPL2.92370	8.73015293287856e-05
ACPP.55	1.05104714400008e-09
ACPT.93650	2.06714411977133e-06
ACRBP.84519	0.000861910416620164
ACRC.93953	4.51829638343907e-16
ACRV1.56	8.54394651902667e-40
ACR.49	1.20202326836779e-31
ACSBG1.23205	2.93627505058246e-15
ACSBG2.81616	5.41020063076623e-12
ACSF2.80221	4.23630190775161e-37
ACSF3.197322	1.60599102021986e-12
ACSL1.2180	3.13235502538753e-11
ACSL3.2181	4.48453136745956e-13
ACSL4.2182	1.61133978052258e-76
ACSL5.51703	3.56468787846873e-44
ACSL6.23305	5.49456566500097e-12
ACSM1.116285	3.94296592591893e-52
ACSM2A.123876	2.88558840712263e-16
ACSM2B.348158	2.53769348992155e-05
ACSM3.6296	2.34846222650601e-22
ACSM4.341392	0.0347282676851213
ACSM5.54988	2.46122098148539e-59
ACSS1.84532	3.14496262125174e-13
ACSS2.55902	0.0293305540293526
ACSS3.79611	6.326954331255e-23
ACTA1.58	0.0176176261100182
ACTA2.59	4.82011296313556e-39
ACTBL2.345651	4.27566343159814e-29
ACTB.60	4.65867667549937e-43
ACTC1.70	0.00203740179795227
ACTG1.71	3.13054031076439e-05
ACTG2.72	5.71129972638693e-33
ACTL6A.86	4.42113421647908e-64
ACTL6B.51412	0.000758369587716125
ACTL7A.10881	0.0496084279950514
ACTL7B.10880	2.3154786174827e-05
ACTL8.81569	1.81453033371375e-34
ACTL9.284382	0.670883963730354
ACTN1.87	2.56757450922966e-36
ACTN2.88	8.11315978357453e-14
ACTN3.89	9.3423884782668e-12
ACTN4.81	2.82620924747801e-31
ACTR10.55860	2.99636644938643e-25
ACTR1A.10121	0.0882956269316372
ACTR1B.10120	3.35765454643131e-18
ACTR2.10097	7.46776543798021e-38
ACTR3B.57180	3.56701262449755e-47
ACTR3C.653857	3.8151777495609e-13
ACTR3.10096	3.29917404469747e-54
ACTR5.79913	6.56167545211341e-07
ACTR6.64431	8.56893664298975e-15
ACTR8.93973	4.23794618012462e-22
ACTRT1.139741	0.411883777403032
ACTRT2.140625	0.493850957816977
ACVR1B.91	1.62868917279797e-59
ACVR1C.130399	3.03754026988349e-27
ACVR1.90	2.77740526994011e-35
ACVR2A.92	7.81943481675561e-32
ACVR2B.93	6.26111913226951e-13
ACVRL1.94	2.46850110632699e-63
ACY1.95	4.60542749701226e-23
ACY3.91703	1.54414831112041e-36
ACYP1.97	1.85452820248489e-23
ACYP2.98	7.39076983694857e-24
ADAD1.132612	2.81300251473119e-12
ADAD2.161931	6.60804492211116e-33
ADAL.161823	4.28821505515933e-42
ADAM10.102	8.52555589431317e-30
ADAM11.4185	3.76183018878533e-20
ADAM12.8038	8.0281378287101e-40
ADAM15.8751	2.02885928977797e-14
ADAM17.6868	1.87824123060044e-48
ADAM18.8749	2.42139444500851e-06
ADAM19.8728	6.08652921769896e-31
ADAM20.8748	2.33487295730091e-11
ADAM21P1.145241	0.16288486074476
ADAM21.8747	0.0103537515621079
ADAM22.53616	4.78547259423929e-25
ADAM23.8745	9.3736984907052e-47
ADAM28.10863	1.35269398655152e-23
ADAM29.11086	0.000717319820246239
ADAM2.2515	0.0015585662741418
ADAM30.11085	0.0368331421790278
ADAM32.203102	1.59804524268723e-09
ADAM33.80332	4.66506525125807e-94
ADAM3A.1587	0.000511755528308768
ADAM5P.255926	0.196097789913056
ADAM6.8755	6.29903531350731e-37
ADAM7.8756	0.564367545405859
ADAM8.101	2.79166945060141e-07
ADAM9.8754	4.42875610200109e-12
ADAMDEC1.27299	3.3464643715591e-23
ADAMTS10.81794	2.95329376767979e-55
ADAMTS12.81792	1.08308538158531e-31
ADAMTS13.11093	2.01582995783132e-31
ADAMTS14.140766	3.49899222114844e-14
ADAMTS15.170689	9.44773032725328e-75
ADAMTS16.170690	4.76213242712455e-33
ADAMTS17.170691	2.99602715435688e-16
ADAMTS18.170692	1.53294157752322e-32
ADAMTS19.171019	2.87414326357431e-20
ADAMTS1.9510	4.7215948610958e-57
ADAMTS20.80070	0.000176294996129943
ADAMTS2.9509	1.60731116712146e-27
ADAMTS3.9508	4.29119871799504e-84
ADAMTS4.9507	1.54451742919858e-19
ADAMTS5.11096	4.67686112274861e-56
ADAMTS6.11174	1.67588647216242e-35
ADAMTS7.11173	1.80492609848077e-16
ADAMTS8.11095	1.29870304942108e-41
ADAMTS9.56999	3.65592260510096e-54
ADAMTSL1.92949	8.74611183289405e-39
ADAMTSL2.9719	2.81215642466153e-34
ADAMTSL3.57188	1.81538754799835e-14
ADAMTSL4.54507	1.8511928463212e-38
ADAMTSL5.339366	4.42956298553938e-53
ADAP1.11033	1.58794610242822e-15
ADAP2.55803	6.30120080297697e-11
ADARB1.104	1.25274570860891e-36
ADARB2.105	7.56909801039911e-05
ADAR.103	6.94775749717644e-15
ADAT1.23536	1.25949054168965e-23
ADAT2.134637	2.46338919377976e-47
ADAT3.113179	5.70624893171505e-35
ADA.100	2.46252985921152e-43
ADCK1.57143	2.23742491573306e-07
ADCK2.90956	7.48409289958592e-11
ADCK4.79934	9.3801760823944e-26
ADCK5.203054	1.55247612575632e-26
ADCY10.55811	5.34012903659171e-10
ADCY1.107	1.67359483866578e-48
ADCY2.108	7.25450238197532e-16
ADCY3.109	1.85850964437504e-39
ADCY4.196883	1.51943127606194e-78
ADCY5.111	1.62040036460552e-47
ADCY6.112	1.08961517014866e-51
ADCY7.113	3.19184114832292e-52
ADCY8.114	0.0604493083934703
ADCY9.115	4.76500897239694e-65
ADCYAP1R1.117	3.09917703677442e-38
ADCYAP1.116	1.07933640419148e-18
ADC.113451	5.06856485900082e-53
ADD1.118	2.43205320488484e-49
ADD2.119	3.33843337538802e-56
ADD3.120	4.72000023905431e-30
ADH1A.124	1.53772749200545e-44
ADH1B.125	2.51882015948846e-49
ADH1C.126	4.79120897372111e-48
ADH4.127	1.07943699860599e-25
ADH5.128	1.23869438212944e-07
ADH6.130	0.000127543336685616
ADH7.131	0.000146554999904546
ADHFE1.137872	2.40352457543399e-26
ADI1.55256	6.97291595435542e-33
ADIG.149685	0.000341865325441857
ADIPOQ.9370	5.35405472876631e-38
ADIPOR1.51094	1.9753967123615e-33
ADIPOR2.79602	5.47249582308649e-24
ADK.132	0.000896684853825652
ADM2.79924	4.54596839574193e-27
ADM.133	8.82936895273544e-37
ADNP2.22850	3.4620862733169e-12
ADNP.23394	3.73349517064637e-40
ADORA1.134	9.70477117505997e-07
ADORA2A.135	3.47907159908086e-14
ADORA2B.136	2.91420426426889e-58
ADORA3.140	3.69603359716006e-22
ADO.84890	4.42010735590155e-05
ADPGK.83440	1.90049740636048e-18
ADPRHL1.113622	1.63377766449016e-15
ADPRHL2.54936	2.95895566977027e-30
ADPRH.141	1.00092653192165e-50
ADRA1A.148	5.74493150721683e-18
ADRA1B.147	0.137900670478282
ADRA1D.146	3.82955622973803e-17
ADRA2A.150	4.22116165885597e-57
ADRA2B.151	6.83488344633383e-35
ADRA2C.152	9.58245257259961e-33
ADRB1.153	2.56127380850843e-28
ADRB2.154	6.13056678427572e-66
ADRB3.155	1.03892705192891e-14
ADRBK1.156	4.84911423816832e-13
ADRBK2.157	7.62465674531447e-16
ADRM1.11047	1.90230837805516e-35
ADSL.158	3.00943504277873e-50
ADSSL1.122622	8.82989565253902e-26
ADSS.159	0.00151024400908249
AEBP1.165	4.08537753230921e-33
AEBP2.121536	1.58926270333592e-09
AEN.64782	1.79491878614575e-13
AES.166	1.58499853415011e-31
AFAP1L1.134265	7.77145261689731e-32
AFAP1L2.84632	4.79078849448661e-32
AFAP1.60312	1.34626625279204e-25
AFARP1.246182	0.228924765910017
AFF1.4299	5.29254544715957e-60
AFF2.2334	1.28568322692114e-45
AFF3.3899	1.68242813060344e-95
AFF4.27125	1.57709189134616e-57
AFG3L1.172	4.5104636750849e-22
AFG3L2.10939	2.27661522887506e-39
AFMID.125061	1.16244818394561e-14
AFM.173	0.0846887596815003
AFP.174	1.93038470834634e-32
AFTPH.54812	7.45042272912121e-42
AG2.387763	1.1035263641534e-48
AGAP11.119385	2.69741331595221e-39
AGAP1.116987	1.24577487465028e-08
AGAP2.116986	4.75753308281795e-29
AGAP3.116988	1.12563120037961e-31
AGAP4.119016	2.4206717009145e-28
AGAP5.729092	1.85247025377001e-22
AGAP6.414189	9.36233320702011e-24
AGAP7.653268	3.82078630892141e-11
AGAP8.728404	1.01286665519176e-08
AGA.175	8.65250825150253e-18
AGBL1.123624	4.2529276373151e-05
AGBL2.79841	2.01533399457093e-48
AGBL3.340351	4.34883285931586e-11
AGBL4.84871	3.09313508301115e-18
AGBL5.60509	1.67492661622408e-24
AGER.177	9.87330897664198e-38
AGFG1.3267	1.76440280213765e-26
AGFG2.3268	1.7900007652049e-27
AGGF1.55109	9.54239411615807e-76
AGK.55750	2.02811300889833e-14
AGL.178	2.47542686105239e-23
AGMAT.79814	3.50493810149705e-17
AGPAT1.10554	4.32961811305202e-06
AGPAT2.10555	2.87405670848216e-17
AGPAT3.56894	9.73925356313986e-08
AGPAT4.56895	2.10694781593207e-76
AGPAT5.55326	4.99519904800146e-13
AGPAT6.137964	5.75604424852758e-08
AGPAT9.84803	1.82759767710153e-31
AGPHD1.123688	9.80482732000629e-05
AGPS.8540	2.34684325762823e-14
AGR2.10551	5.3523918967578e-93
AGR3.155465	1.06211191687572e-99
AGRN.375790	1.79554680165306e-20
AGRP.181	0.352202713222909
AGTPBP1.23287	7.88674475670507e-47
AGTR1.185	7.49865991989983e-57
AGTR2.186	4.22949800730798e-26
AGTRAP.57085	9.74615299519597e-11
AGT.183	0.00477299575124515
AGXT2L1.64850	0.00430972387470182
AGXT2L2.85007	2.44758353397819e-44
AGXT2.64902	7.33494392314442e-15
AGXT.189	1.08178913167635e-09
AHCTF1.25909	1.28898728333303e-30
AHCYL1.10768	2.32471101463544e-38
AHCYL2.23382	3.10867315616797e-14
AHCY.191	7.47681004122483e-19
AHDC1.27245	7.45934814702273e-34
AHI1.54806	3.19042213801364e-05
AHNAK2.113146	3.17041658159245e-09
AHNAK.79026	5.11473086484468e-64
AHRR.57491	0.0954871026472843
AHR.196	3.34886692751562e-27
AHSA1.10598	8.48019095851555e-36
AHSA2.130872	4.40087899908409e-22
AHSG.197	1.21232354684019e-36
AHSP.51327	0.000471852835807196
AICDA.57379	1.02556246786992e-16
AIDA.64853	4.51221008585621e-05
AIF1L.83543	3.86730430626376e-46
AIF1.199	7.8905895475099e-32
AIFM1.9131	3.17035485498124e-18
AIFM2.84883	1.38800117304378e-05
AIFM3.150209	1.76659849843152e-19
AIG1.51390	2.52346396968427e-33
AIM1L.55057	5.97481020181496e-18
AIM1.202	2.22535943316107e-06
AIM2.9447	4.63459072451266e-33
AIMP1.9255	9.84224079313861e-25
AIMP2.7965	3.5122987779594e-21
AIPL1.23746	7.06450628911718e-17
AIP.9049	5.28810875661197e-15
AIRE.326	1.08681254988738e-11
AJAP1.55966	2.92118875789891e-20
AK1.203	6.49659008610688e-12
AK2.204	1.56461794017849e-42
AK3L1.205	4.23794618012462e-22
AK3.50808	8.60089255922876e-14
AK5.26289	7.58555788753053e-50
AK7.122481	8.50636015489441e-34
AKAP10.11216	5.52188131579274e-29
AKAP11.11215	5.27480604037958e-39
AKAP12.9590	4.21682107200585e-76
AKAP13.11214	5.37342440203938e-41
AKAP14.158798	1.1239600572628e-05
AKAP1.8165	1.91411794377113e-10
AKAP2.11217	7.68929614664071e-44
AKAP3.10566	3.31380463399043e-27
AKAP4.8852	0.150487250239651
AKAP5.9495	8.686418260419e-33
AKAP6.9472	1.67667688639469e-23
AKAP7.9465	1.00969837456645e-28
AKAP8L.26993	2.38723380594819e-31
AKAP8.10270	7.72707560061544e-26
AKAP9.10142	1.56194285029604e-31
AKD1.221264	2.3734730964012e-18
AKIRIN1.79647	1.09622104035696e-25
AKIRIN2.55122	9.70156543486708e-38
AKNAD1.254268	3.8436085748828e-05
AKNA.80709	5.81171858659257e-56
AKR1A1.10327	0.000196530087005644
AKR1B10.57016	0.0788524624416489
AKR1B15.441282	7.56207865553206e-40
AKR1B1.231	7.95717142070525e-56
AKR1C1.1645	7.70463508779258e-39
AKR1C2.1646	2.54614542809106e-25
AKR1C3.8644	6.90915317750058e-23
AKR1C4.1109	0.026499293479403
AKR1CL1.340811	0.0353012227387098
AKR1D1.6718	0.00032411128960736
AKR1E2.83592	1.51243589415392e-67
AKR7A2.8574	1.01184329384864e-27
AKR7A3.22977	4.87846126250895e-83
AKR7L.246181	1.48175115562251e-58
AKT1S1.84335	1.8759141609786e-19
AKT1.207	9.86929962211332e-15
AKT2.208	1.34881873083809e-07
AKT3.10000	2.02541544513882e-46
AKTIP.64400	4.01523160807426e-05
ALAD.210	2.13651143946247e-61
ALAS1.211	6.67478091867468e-16
ALAS2.212	0.00055193691425237
ALB.213	5.17687413344253e-17
ALCAM.214	1.30831099524516e-45
ALDH16A1.126133	5.93873841225811e-27
ALDH18A1.5832	5.75171216968586e-11
ALDH1A1.216	1.33094291570868e-63
ALDH1A2.8854	5.68592116273255e-71
ALDH1A3.220	3.98033472215093e-57
ALDH1B1.219	6.25449315454326e-14
ALDH1L1.10840	7.90977389099376e-53
ALDH1L2.160428	7.98255693362155e-42
ALDH2.217	2.59124772875803e-30
ALDH3A1.218	7.32116407032063e-40
ALDH3A2.224	4.2471962725785e-17
ALDH3B1.221	3.22700227616495e-05
ALDH3B2.222	5.89947241483306e-23
ALDH4A1.8659	4.90241012243308e-31
ALDH5A1.7915	3.04894326740344e-19
ALDH6A1.4329	1.90532734102522e-52
ALDH7A1.501	0.00747040493259489
ALDH8A1.64577	4.12244770460825e-05
ALDH9A1.223	0.0212755543734301
ALDOA.226	1.60533015690216e-23
ALDOB.229	0.0138471630563818
ALDOC.230	8.41041242785326e-15
ALG10B.144245	3.06952499110944e-35
ALG10.84920	9.31813346271919e-21
ALG11.440138	0.000109827484893477
ALG12.79087	1.9988812760345e-11
ALG13.79868	6.26695476478718e-28
ALG14.199857	5.43598443167537e-11
ALG1L2.644974	1.85047266192914e-10
ALG1L.200810	0.0027741200097241
ALG1.56052	3.91026125036656e-43
ALG2.85365	3.25271334822629e-16
ALG3.10195	5.60366311929453e-53
ALG5.29880	2.5274487192948e-10
ALG6.29929	6.75420006953293e-15
ALG8.79053	1.07428904353577e-20
ALG9.79796	5.1954922495908e-06
ALKBH1.8846	2.3869241875289e-38
ALKBH2.121642	1.00230790458114e-23
ALKBH3.221120	5.46465204393491e-08
ALKBH4.54784	3.89482200129302e-31
ALKBH5.54890	0.000586722071291511
ALKBH6.84964	2.76068005141892e-34
ALKBH7.84266	4.53805094990395e-43
ALKBH8.91801	1.52331652879805e-17
ALK.238	1.56606245096037e-27
ALLC.55821	6.79552128430328e-08
ALMS1P.200420	3.19594932319385e-22
ALMS1.7840	1.26506148014133e-19
ALOX12B.242	1.00491014982701e-09
ALOX12P2.245	2.36775810464507e-10
ALOX12.239	2.99333709426473e-19
ALOX15B.247	8.16702948706406e-28
ALOX15.246	0.00047844974465524
ALOX5AP.241	5.13901329384709e-20
ALOX5.240	2.07096305604726e-37
ALOXE3.59344	3.72577847690321e-08
ALPI.248	0.0215923447601993
ALPK1.80216	7.10113428979218e-20
ALPK2.115701	2.11790254162004e-13
ALPK3.57538	3.37740137261942e-20
ALPL.249	1.64900191907176e-47
ALPPL2.251	1.8265862821211e-19
ALPP.250	1.78954977708486e-46
ALS2CL.259173	1.30736196935712e-39
ALS2CR11.151254	1.59023044268706e-11
ALS2CR12.130540	4.34859502565629e-07
ALS2CR4.65062	2.23167356606121e-24
ALS2CR8.79800	1.29099392007688e-30
ALS2.57679	9.48706340444763e-11
ALX1.8092	7.15097844992959e-17
ALX3.257	2.199339303263e-29
ALX4.60529	1.42723240468618e-44
AMAC1L2.83650	1.9400932786324e-11
AMAC1L3.643664	0.00279240717891604
AMAC1.146861	0.115964641594592
AMACR.23600	1.6230600346028e-44
AMBN.258	1.36299302824157e-08
AMBP.259	1.54889688968736e-54
AMBRA1.55626	2.20480525521058e-09
AMD1.262	3.45671643679556e-75
AMDHD1.144193	1.72649893153982e-16
AMDHD2.51005	5.78877317200784e-36
AMELX.265	0.041073368198003
AMELY.266	0.0716304683104721
AMFR.267	9.42685775515575e-54
AMHR2.269	6.61683968272923e-22
AMH.268	4.95921226757488e-15
AMICA1.120425	1.01104904919955e-53
AMIGO1.57463	1.30252273771998e-14
AMIGO2.347902	1.10306062591358e-31
AMIGO3.386724	1.67689827247613e-08
AMMECR1L.83607	5.49591363188307e-06
AMMECR1.9949	2.10503171501858e-11
AMN1.196394	1.56984667196259e-27
AMN.81693	1.62584865735074e-36
AMOTL1.154810	3.24147907145317e-69
AMOTL2.51421	1.47310168519952e-21
AMOT.154796	6.66550997927248e-12
AMPD1.270	6.17072537730961e-38
AMPD2.271	7.30311966151791e-49
AMPD3.272	3.44924443977168e-08
AMPH.273	2.80303445974062e-39
AMTN.401138	3.906485184391e-33
AMT.275	3.11183567725857e-33
AMY1A.276	4.27684257949234e-77
AMY2A.279	2.08655515734704e-27
AMY2B.280	1.73880061889562e-28
AMZ1.155185	1.24274160551645e-21
AMZ2P1.201283	1.61458585474616e-16
AMZ2.51321	1.37801505735817e-39
ANAPC10.10393	0.000215211832218039
ANAPC11.51529	4.19437556829017e-24
ANAPC13.25847	2.12241139246051e-22
ANAPC16.119504	2.38557481762765e-06
ANAPC1.64682	6.65568539300174e-28
ANAPC2.29882	2.60966407837259e-47
ANAPC4.29945	6.3096815723362e-07
ANAPC5.51433	6.95191137299653e-09
ANAPC7.51434	6.35695341116225e-27
ANGEL1.23357	1.77656571457575e-07
ANGEL2.90806	3.15976191710839e-24
ANGPT1.284	2.62480713842785e-47
ANGPT2.285	4.04407936870933e-06
ANGPT4.51378	1.60281582409508e-51
ANGPTL1.9068	2.64874348443479e-71
ANGPTL2.23452	4.22041248748053e-45
ANGPTL3.27329	1.76767428166447e-05
ANGPTL4.51129	5.02236284786188e-37
ANGPTL5.253935	8.12084185505989e-25
ANGPTL6.83854	2.88605485808186e-27
ANGPTL7.10218	3.56231983919568e-43
ANG.283	2.94230206860226e-41
ANK1.286	1.08597706454189e-05
ANK2.287	1.89166403361388e-65
ANK3.288	4.77376164122077e-08
ANKAR.150709	4.92178668702504e-14
ANKDD1A.348094	2.829736930015e-53
ANKFN1.162282	3.04094783371885e-27
ANKFY1.51479	1.93298706297009e-22
ANKHD1.EIF4EBP3.404734	1.65624244955045e-56
ANKHD1.54882	7.37145171456267e-26
ANKH.56172	3.38999912212267e-36
ANKIB1.54467	5.96536831256115e-17
ANKK1.255239	2.3336141529913e-33
ANKLE1.126549	1.32614191803251e-72
ANKLE2.23141	7.52966844823831e-06
ANKMY1.51281	6.94586066456224e-73
ANKMY2.57037	3.17864060776425e-35
ANKRA2.57763	1.33491922818192e-84
ANKRD10.55608	1.84067871771038e-21
ANKRD11.29123	2.78461244760417e-45
ANKRD12.23253	1.99596450182796e-23
ANKRD13A.88455	7.48550023346264e-17
ANKRD13B.124930	1.38137066350981e-12
ANKRD13C.81573	1.06955680445464e-10
ANKRD13D.338692	6.01298062325526e-25
ANKRD16.54522	2.43239453063966e-15
ANKRD17.26057	8.56173744216865e-24
ANKRD19.138649	2.4246436459738e-10
ANKRD1.27063	8.33997379974054e-20
ANKRD20A3.441425	0.00410681352040953
ANKRD20A4.728747	6.05272478944026e-05
ANKRD20B.729171	0.00794331354211064
ANKRD22.118932	0.0515465559655208
ANKRD23.200539	2.63583159507647e-15
ANKRD24.170961	7.35124384453099e-55
ANKRD26P1.124149	0.000419082311470594
ANKRD26.22852	2.86001633008568e-05
ANKRD27.84079	5.32044058941418e-40
ANKRD28.23243	3.88722763929658e-11
ANKRD29.147463	1.73666970611013e-42
ANKRD2.26287	4.99156325997302e-15
ANKRD30A.91074	6.24002867105074e-76
ANKRD30B.374860	1.24672008846332e-76
ANKRD31.256006	7.16166359510726e-17
ANKRD32.84250	5.13299934620659e-34
ANKRD33.341405	2.4446098088224e-06
ANKRD34A.284615	3.11681458527245e-13
ANKRD34B.340120	3.41977559088063e-11
ANKRD34C.390616	1.78163325096968e-17
ANKRD35.148741	2.2083202328092e-66
ANKRD36BP1.84832	5.88176273106825e-46
ANKRD36B.57730	7.53464316524619e-06
ANKRD36.375248	2.92069407881148e-07
ANKRD37.353322	0.00556988896587509
ANKRD39.51239	2.22937528137975e-28
ANKRD40.91369	1.84876692500975e-34
ANKRD42.338699	1.82527426942632e-72
ANKRD43.134548	1.09097847299612e-68
ANKRD44.91526	2.89404378813051e-23
ANKRD45.339416	1.48761443556364e-60
ANKRD46.157567	7.87516777644217e-20
ANKRD49.54851	0.0109301657471223
ANKRD50.57182	3.41951328607129e-38
ANKRD52.283373	5.50541878411297e-18
ANKRD53.79998	5.40485860430529e-77
ANKRD54.129138	3.39572445576077e-18
ANKRD55.79722	1.95922920351003e-11
ANKRD56.345079	1.06917617189179e-10
ANKRD57.65124	6.40812880255894e-06
ANKRD58.347454	1.90485868328693e-13
ANKRD5.63926	1.50429508274445e-44
ANKRD6.22881	2.95459509267319e-43
